Fecha,Total,Cruceristas,Excursionista,Turista,Viajero,Turista + Excursionista,País: Guatemala,País: El Salvador,País: Estados Unidos de América
2012-05-01,164972.46000000002,8713.0,26057.212721493444,126080.29932230935,4121.947956197208,152137.5120438028,51437.00000000001,39422.460000000014,22189.5
2012-06-01,179413.4692857143,0.0,28061.125884614983,145179.43834226727,6172.905058832026,173240.56422688224,60287.99999999998,40568.510000000024,36842.58928571428
2012-07-01,203982.72000106898,779.0,32843.663661244624,166496.70701158393,3863.349328240416,199340.37067282855,64281.99999999999,44613.73999999998,38390.05307454483
2012-08-01,188092.5113766111,14684.0,27662.599867692392,143003.80337269022,2742.1081362284995,170666.4032403826,53029.96019900497,49534.899999999965,24028.391891891893
2012-09-01,151540.5526229508,0.0,24542.92496496233,123304.6030215272,3693.024636461269,147847.52798648953,54110.69262295083,39433.179999999986,15487.0
2012-10-01,174443.9581938911,2102.0,27010.771270045385,140984.6662267182,4346.520697127517,167995.4374967636,63018.78486055779,45355.40999999998,19702.5
2012-11-01,208257.7518037972,8895.0,27943.2263299869,167456.84198857017,3962.6834852401284,195400.06831855708,72239.75862068967,53340.83000000007,23180.342105263157
2012-12-01,259521.71697674415,15706.0,36515.84969556086,202323.90281171678,4975.964469466518,238839.75250727765,93973.99999999997,56650.159999999996,33566.90697674418
2013-01-01,195440.51999839998,8693.0,24373.525730115904,146485.17080530812,15888.823462975955,170858.69653542404,67124.99999839994,38650.84000000001,23784.0
2013-02-01,156393.08999989994,6857.0,34391.592841782796,105772.30661981276,9372.190538304392,140163.89946159557,45171.999999899956,33068.15,24170.0
2013-03-01,238388.6366329104,14209.0,41464.51672116675,175628.03864179595,7087.081269947708,217092.5553629627,74787.9999898,53940.459175911245,36196.56747404845
2013-04-01,192705.51000000004,9718.0,31943.217330208623,147582.8198924938,3461.472777297599,179526.03722270243,66864.00000000001,45047.50000000002,22149.0
2013-05-01,188955.55999999997,3921.0,30290.32007595117,148953.33683901286,5790.903085035938,179243.65691496403,67028.99999999996,50045.240000000034,23118.0
